type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:26:18,48.271611446,8.848796969,521.3,25.5,1.0,4.942,7.08,,
T,2022-01-21 11:26:19,48.271545818,8.848774278,521.3,27.0,0.8,4.950,7.49,,
T,2022-01-21 11:26:20,48.271479898,8.848749809,521.4,27.2,0.7,4.957,7.55,,
T,2022-01-21 11:26:21,48.271410811,8.848721512,521.4,28.7,0.6,4.965,7.96,,
T,2022-01-21 11:26:22,48.271339653,8.848699485,521.5,29.1,0.5,4.974,8.08,,
T,2022-01-21 11:26:23,48.271267187,8.848679417,521.5,29.5,0.5,4.982,8.19,,
T,2022-01-21 11:26:24,48.271190138,8.848680560,521.5,30.8,0.4,4.990,8.57,,
T,2022-01-21 11:26:25,48.271119113,8.848649830,521.6,29.6,0.4,4.999,8.22,,
T,2022-01-21 11:26:26,48.271050330,8.848617171,521.6,28.9,0.3,5.007,8.02,,
T,2022-01-21 11:26:27,48.270981120,8.848586748,521.6,28.9,0.3,5.015,8.02,,
T,2022-01-21 11:26:28,48.270915248,8.848557023,521.6,27.5,0.3,5.022,7.65,,
T,2022-01-21 11:26:29,48.270847285,8.848531594,521.7,28.0,0.2,5.030,7.79,,
T,2022-01-21 11:26:30,48.270777925,8.848499061,521.7,29.1,0.2,5.038,8.08,,
T,2022-01-21 11:26:31,48.270709521,8.848469780,521.7,28.5,0.2,5.046,7.91,,
T,2022-01-21 11:26:32,48.270642613,8.848437790,521.7,28.1,0.2,5.054,7.81,,
T,2022-01-21 11:26:33,48.270571933,8.848424453,521.7,28.5,0.2,5.062,7.92,,
T,2022-01-21 11:26:34,48.270505547,8.848396688,521.7,27.6,0.1,5.069,7.66,,
T,2022-01-21 11:26:35,48.270440859,8.848365018,521.7,27.2,0.1,5.077,7.57,,
T,2022-01-21 11:26:36,48.270380296,8.848312358,521.7,28.0,0.1,5.085,7.79,,
T,2022-01-21 11:26:37,48.270316521,8.848279865,521.7,27.0,0.1,5.092,7.49,,
T,2022-01-21 11:26:38,48.270255412,8.848248730,521.8,25.8,0.1,5.099,7.18,,
T,2022-01-21 11:26:39,48.270198748,8.848219860,521.8,24.0,0.1,5.106,6.66,,
T,2022-01-21 11:26:40,48.270141921,8.848216411,521.8,22.8,0.1,5.112,6.32,,
T,2022-01-21 11:26:41,48.270095212,8.848189215,521.8,20.1,0.1,5.118,5.57,,
T,2022-01-21 11:26:42,48.270052969,8.848165037,521.8,18.1,0.1,5.123,5.03,,
T,2022-01-21 11:26:43,48.270018533,8.848140582,521.8,15.3,0.1,5.127,4.24,,
T,2022-01-21 11:26:44,48.269991465,8.848119591,521.8,12.2,0.1,5.131,3.39,,
T,2022-01-21 11:26:45,48.269969843,8.848099762,521.8,10.1,0.1,5.133,2.82,,
















